Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.91243,0.679298,0.397549,0.778791,24773,43444,2809068885,2546901879.000000,0.000000,505298,.,.,283001.000000,188295.000000,,1.50296609044,461049,.,.,256128.000000,180158.000000,,1.42168540947,44249,.,.,26873.000000,8137.000000,,3.30256851419,1159963,.,.,825703.000000,292889.000000,,2.81916698818,474708,.,.,287686.000000,179322.000000,,1.60429841291,224113,.,.,206648.000000,13471.000000,,15.3402123079,461142,.,.,331369.000000,100096.000000,,3.31051190857
INDEL,*,*,PASS,*,QUAL,*,0.91243,0.679298,0.397549,0.778791,24773,43444,2809068885,2546901879.000000,0.000000,505298,.,.,283001.000000,188295.000000,,1.50296609044,461049,.,.,256128.000000,180158.000000,,1.42168540947,44249,.,.,26873.000000,8137.000000,,3.30256851419,1159963,.,.,825703.000000,292889.000000,,2.81916698818,474708,.,.,287686.000000,179322.000000,,1.60429841291,224113,.,.,206648.000000,13471.000000,,15.3402123079,461142,.,.,331369.000000,100096.000000,,3.31051190857
INDEL,*,GRCh38_AllHomopolymers_gt6bp_imperfectgt10bp_slop5.bed.gz,ALL,*,QUAL,*,0.864708,0.693996,0.505877,0.770004,17575,20596,83977437.000000,62855668.000000,0.000000,221639,.,.,122040.000000,83733.000000,,1.45748987854,191653,.,.,104122.000000,76276.000000,,1.36506896009,29986,.,.,17918.000000,7457.000000,,2.40284296634,577500,.,.,401942.000000,148962.000000,,2.69828546878,198036,.,.,118626.000000,75948.000000,,1.56193711487,87320,.,.,75837.000000,8833.000000,,8.58564474131,292144,.,.,207479.000000,64181.000000,,3.23271684767
INDEL,*,GRCh38_AllHomopolymers_gt6bp_imperfectgt10bp_slop5.bed.gz,PASS,*,QUAL,*,0.864708,0.693996,0.505877,0.770004,17575,20596,83977437.000000,62855668.000000,0.000000,221639,.,.,122040.000000,83733.000000,,1.45748987854,191653,.,.,104122.000000,76276.000000,,1.36506896009,29986,.,.,17918.000000,7457.000000,,2.40284296634,577500,.,.,401942.000000,148962.000000,,2.69828546878,198036,.,.,118626.000000,75948.000000,,1.56193711487,87320,.,.,75837.000000,8833.000000,,8.58564474131,292144,.,.,207479.000000,64181.000000,,3.23271684767
INDEL,*,GRCh38_AllTandemRepeats_201to10000bp_slop5.bed.gz,ALL,*,QUAL,*,0.956927,0.820403,0.875011,0.883422,140,371,38076769.000000,13780238.000000,0.000000,7081,.,.,4172.000000,2540.000000,,1.64251968504,6776,.,.,3949.000000,2520.000000,,1.56706349206,305,.,.,223.000000,20.000000,,11.15,67446,.,.,50084.000000,14930.000000,,3.3545880777,6916,.,.,4336.000000,2494.000000,,1.73857257418,1514,.,.,1412.000000,86.000000,,16.4186046512,59016,.,.,44336.000000,12350.000000,,3.58995951417
INDEL,*,GRCh38_AllTandemRepeats_201to10000bp_slop5.bed.gz,PASS,*,QUAL,*,0.956927,0.820403,0.875011,0.883422,140,371,38076769.000000,13780238.000000,0.000000,7081,.,.,4172.000000,2540.000000,,1.64251968504,6776,.,.,3949.000000,2520.000000,,1.56706349206,305,.,.,223.000000,20.000000,,11.15,67446,.,.,50084.000000,14930.000000,,3.3545880777,6916,.,.,4336.000000,2494.000000,,1.73857257418,1514,.,.,1412.000000,86.000000,,16.4186046512,59016,.,.,44336.000000,12350.000000,,3.58995951417
INDEL,*,GRCh38_AllTandemRepeats_51to200bp_slop5.bed.gz,ALL,*,QUAL,*,0.89581,0.84661,0.599076,0.870515,1694,2398,26604713.000000,19582476.000000,0.000000,31193,.,.,17142.000000,9052.000000,,1.89372514361,27943,.,.,15429.000000,8902.000000,,1.73320602112,3250,.,.,1713.000000,150.000000,,11.42,88735,.,.,66643.000000,18061.000000,,3.68988428105,30119,.,.,20556.000000,8781.000000,,2.3409634438,5457,.,.,4413.000000,785.000000,,5.62165605096,53159,.,.,41674.000000,8495.000000,,4.90570924073
INDEL,*,GRCh38_AllTandemRepeats_51to200bp_slop5.bed.gz,PASS,*,QUAL,*,0.89581,0.84661,0.599076,0.870515,1694,2398,26604713.000000,19582476.000000,0.000000,31193,.,.,17142.000000,9052.000000,,1.89372514361,27943,.,.,15429.000000,8902.000000,,1.73320602112,3250,.,.,1713.000000,150.000000,,11.42,88735,.,.,66643.000000,18061.000000,,3.68988428105,30119,.,.,20556.000000,8781.000000,,2.3409634438,5457,.,.,4413.000000,785.000000,,5.62165605096,53159,.,.,41674.000000,8495.000000,,4.90570924073
INDEL,*,GRCh38_AllTandemRepeats_gt10000bp_slop5.bed.gz,ALL,*,QUAL,*,0.0,,1.0,,0,0,71877742.000000,0.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,5073,.,.,4447.000000,578.000000,,7.6937716263,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,5073,.,.,4447.000000,578.000000,,7.6937716263
INDEL,*,GRCh38_AllTandemRepeats_gt10000bp_slop5.bed.gz,PASS,*,QUAL,*,0.0,,1.0,,0,0,71877742.000000,0.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,5073,.,.,4447.000000,578.000000,,7.6937716263,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,5073,.,.,4447.000000,578.000000,,7.6937716263
