Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.991634,0.885286,0.424061,0.935447,2692,5026,2809068885,2546494460.000000,0.000000,453248,.,.,285676.000000,135445.000000,,2.10916608217,449456,.,.,284373.000000,134048.000000,,2.12142665314,3792,.,.,1303.000000,1397.000000,,0.932712956335,916992,.,.,679667.000000,203048.000000,,3.34732181553,467547,.,.,324827.000000,133404.000000,,2.43491199664,60584,.,.,59365.000000,547.000000,,108.52833638,388861,.,.,295475.000000,69097.000000,,4.27623485824
INDEL,*,*,PASS,*,QUAL,*,0.991634,0.885286,0.424061,0.935447,2692,5026,2809068885,2546494460.000000,0.000000,453248,.,.,285676.000000,135445.000000,,2.10916608217,449456,.,.,284373.000000,134048.000000,,2.12142665314,3792,.,.,1303.000000,1397.000000,,0.932712956335,916992,.,.,679667.000000,203048.000000,,3.34732181553,467547,.,.,324827.000000,133404.000000,,2.43491199664,60584,.,.,59365.000000,547.000000,,108.52833638,388861,.,.,295475.000000,69097.000000,,4.27623485824
INDEL,*,GRCh38_AllHomopolymers_gt6bp_imperfectgt10bp_slop5.bed.gz,ALL,*,QUAL,*,0.987161,0.949551,0.528894,0.967991,1901,1939,83977437.000000,62855638.000000,0.000000,198768,.,.,123623.000000,59492.000000,,2.07797687084,196216,.,.,122748.000000,58370.000000,,2.10292958712,2552,.,.,875.000000,1122.000000,,0.779857397504,458576,.,.,335471.000000,102031.000000,,3.28793209907,205139,.,.,142533.000000,58102.000000,,2.45315135451,10899,.,.,10025.000000,335.000000,,29.9253731343,242538,.,.,182913.000000,43594.000000,,4.19582970134
INDEL,*,GRCh38_AllHomopolymers_gt6bp_imperfectgt10bp_slop5.bed.gz,PASS,*,QUAL,*,0.987161,0.949551,0.528894,0.967991,1901,1939,83977437.000000,62855638.000000,0.000000,198768,.,.,123623.000000,59492.000000,,2.07797687084,196216,.,.,122748.000000,58370.000000,,2.10292958712,2552,.,.,875.000000,1122.000000,,0.779857397504,458576,.,.,335471.000000,102031.000000,,3.28793209907,205139,.,.,142533.000000,58102.000000,,2.45315135451,10899,.,.,10025.000000,335.000000,,29.9253731343,242538,.,.,182913.000000,43594.000000,,4.19582970134
INDEL,*,GRCh38_AllTandemRepeats_201to10000bp_slop5.bed.gz,ALL,*,QUAL,*,0.996401,0.940956,0.885176,0.967885,14,43,38076769.000000,13780238.000000,0.000000,6390,.,.,4195.000000,1860.000000,,2.25537634409,6367,.,.,4184.000000,1858.000000,,2.25188374596,23,.,.,11.000000,2.000000,,5.5,60475,.,.,47244.000000,10943.000000,,4.31728045326,6534,.,.,4610.000000,1841.000000,,2.5040738729,410,.,.,403.000000,5.000000,,80.6,53531,.,.,42231.000000,9097.000000,,4.64229965923
INDEL,*,GRCh38_AllTandemRepeats_201to10000bp_slop5.bed.gz,PASS,*,QUAL,*,0.996401,0.940956,0.885176,0.967885,14,43,38076769.000000,13780238.000000,0.000000,6390,.,.,4195.000000,1860.000000,,2.25537634409,6367,.,.,4184.000000,1858.000000,,2.25188374596,23,.,.,11.000000,2.000000,,5.5,60475,.,.,47244.000000,10943.000000,,4.31728045326,6534,.,.,4610.000000,1841.000000,,2.5040738729,410,.,.,403.000000,5.000000,,80.6,53531,.,.,42231.000000,9097.000000,,4.64229965923
INDEL,*,GRCh38_AllTandemRepeats_51to200bp_slop5.bed.gz,ALL,*,QUAL,*,0.985,0.963741,0.601433,0.974255,268,359,26604713.000000,19582479.000000,0.000000,27334,.,.,16633.000000,6337.000000,,2.62474356951,26924,.,.,16491.000000,6269.000000,,2.63056308821,410,.,.,142.000000,68.000000,,2.08823529412,77016,.,.,61955.000000,11669.000000,,5.30936669809,29583,.,.,22553.000000,6176.000000,,3.65171632124,1113,.,.,1032.000000,52.000000,,19.8461538462,46320,.,.,38370.000000,5441.000000,,7.0520124977
INDEL,*,GRCh38_AllTandemRepeats_51to200bp_slop5.bed.gz,PASS,*,QUAL,*,0.985,0.963741,0.601433,0.974255,268,359,26604713.000000,19582479.000000,0.000000,27334,.,.,16633.000000,6337.000000,,2.62474356951,26924,.,.,16491.000000,6269.000000,,2.63056308821,410,.,.,142.000000,68.000000,,2.08823529412,77016,.,.,61955.000000,11669.000000,,5.30936669809,29583,.,.,22553.000000,6176.000000,,3.65171632124,1113,.,.,1032.000000,52.000000,,19.8461538462,46320,.,.,38370.000000,5441.000000,,7.0520124977
INDEL,*,GRCh38_AllTandemRepeats_gt10000bp_slop5.bed.gz,ALL,*,QUAL,*,0.0,,1.0,,0,0,71877742.000000,0.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,3324,.,.,2218.000000,982.000000,,2.25865580448,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,3324,.,.,2218.000000,982.000000,,2.25865580448
INDEL,*,GRCh38_AllTandemRepeats_gt10000bp_slop5.bed.gz,PASS,*,QUAL,*,0.0,,1.0,,0,0,71877742.000000,0.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,3324,.,.,2218.000000,982.000000,,2.25865580448,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,3324,.,.,2218.000000,982.000000,,2.25865580448
