Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.962554,0.94043,0.449482,0.951363,10483,6186,2809068885,2547105669.000000,0.000000,526114,.,.,296723.000000,194170.000000,,1.52816088994,506413,.,.,282664.000000,192409.000000,,1.46907888924,19701,.,.,14059.000000,1761.000000,,7.98353208404,1012606,.,.,655909.000000,317310.000000,,2.06709211812,524250,.,.,323104.000000,191517.000000,,1.68707738739,33208,.,.,24679.000000,7376.000000,,3.34585140998,455148,.,.,308126.000000,118417.000000,,2.60204193655
INDEL,*,*,PASS,*,QUAL,*,0.962421,0.940717,0.446597,0.951445,10400,6183,2809068885,2547105669.000000,0.000000,526114,.,.,296723.000000,194170.000000,,1.52816088994,506343,.,.,282664.000000,192339.000000,,1.46961354691,19771,.,.,14059.000000,1831.000000,,7.67831785909,1006885,.,.,655909.000000,311589.000000,,2.10504542843,524180,.,.,323104.000000,191447.000000,,1.68769424436,33033,.,.,24679.000000,7201.000000,,3.42716289404,449672,.,.,308126.000000,112941.000000,,2.72820322115
INDEL,*,GRCh38_AllHomopolymers_gt6bp_imperfectgt10bp_slop5.bed.gz,ALL,*,QUAL,*,0.957969,0.939889,0.536058,0.948843,5497,3013,83977437.000000,62855671.000000,0.000000,230210,.,.,127695.000000,86040.000000,,1.48413528591,220534,.,.,120899.000000,84702.000000,,1.4273452811,9676,.,.,6796.000000,1338.000000,,5.07922272048,525598,.,.,339837.000000,161347.000000,,2.10624926401,229189,.,.,140323.000000,84346.000000,,1.66365921324,14658,.,.,10360.000000,3507.000000,,2.95409181637,281751,.,.,189154.000000,73494.000000,,2.57373391025
INDEL,*,GRCh38_AllHomopolymers_gt6bp_imperfectgt10bp_slop5.bed.gz,PASS,*,QUAL,*,0.957895,0.940023,0.534708,0.948875,5469,3012,83977437.000000,62855671.000000,0.000000,230210,.,.,127695.000000,86040.000000,,1.48413528591,220517,.,.,120899.000000,84685.000000,,1.42763181201,9693,.,.,6796.000000,1355.000000,,5.01549815498,523959,.,.,339837.000000,159708.000000,,2.1278646029,229172,.,.,140323.000000,84329.000000,,1.66399459261,14622,.,.,10360.000000,3471.000000,,2.98473062518,280165,.,.,189154.000000,71908.000000,,2.63050008344
INDEL,*,GRCh38_AllTandemRepeats_201to10000bp_slop5.bed.gz,ALL,*,QUAL,*,0.968579,0.9595,0.887506,0.964018,111,73,38076769.000000,13780238.000000,0.000000,7511,.,.,4428.000000,2699.000000,,1.64060763246,7275,.,.,4252.000000,2685.000000,,1.58361266294,236,.,.,176.000000,14.000000,,12.5714285714,68919,.,.,49124.000000,17193.000000,,2.85720932938,7439,.,.,4690.000000,2659.000000,,1.76382098533,314,.,.,223.000000,85.000000,,2.62352941176,61166,.,.,44211.000000,14449.000000,,3.05979652571
INDEL,*,GRCh38_AllTandemRepeats_201to10000bp_slop5.bed.gz,PASS,*,QUAL,*,0.968446,0.959742,0.886777,0.964074,111,73,38076769.000000,13780238.000000,0.000000,7511,.,.,4428.000000,2699.000000,,1.64060763246,7274,.,.,4252.000000,2684.000000,,1.58420268256,237,.,.,176.000000,15.000000,,11.7333333333,68449,.,.,49124.000000,16723.000000,,2.9375112121,7438,.,.,4690.000000,2658.000000,,1.76448457487,312,.,.,223.000000,83.000000,,2.68674698795,60699,.,.,44211.000000,13982.000000,,3.16199399228
INDEL,*,GRCh38_AllTandemRepeats_51to200bp_slop5.bed.gz,ALL,*,QUAL,*,0.937718,0.934671,0.605284,0.936192,1174,793,26604713.000000,19582480.000000,0.000000,32369,.,.,17869.000000,9352.000000,,1.91071428571,30353,.,.,16734.000000,9251.000000,,1.80888552589,2016,.,.,1135.000000,101.000000,,11.2376237624,89776,.,.,66291.000000,19477.000000,,3.40355290856,33121,.,.,23079.000000,9128.000000,,2.52837423313,2315,.,.,1505.000000,728.000000,,2.06730769231,54340,.,.,41707.000000,9621.000000,,4.33499636212
INDEL,*,GRCh38_AllTandemRepeats_51to200bp_slop5.bed.gz,PASS,*,QUAL,*,0.937626,0.93485,0.604148,0.936236,1169,793,26604713.000000,19582480.000000,0.000000,32369,.,.,17869.000000,9352.000000,,1.91071428571,30350,.,.,16734.000000,9248.000000,,1.80947231834,2019,.,.,1135.000000,104.000000,,10.9134615385,89493,.,.,66291.000000,19194.000000,,3.45373554236,33118,.,.,23079.000000,9125.000000,,2.52920547945,2308,.,.,1505.000000,721.000000,,2.08737864078,54067,.,.,41707.000000,9348.000000,,4.46159606333
INDEL,*,GRCh38_AllTandemRepeats_gt10000bp_slop5.bed.gz,ALL,*,QUAL,*,0.0,,1.0,,0,0,71877742.000000,0.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,6350,.,.,2759.000000,3479.000000,,0.793043978155,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,6350,.,.,2759.000000,3479.000000,,0.793043978155
INDEL,*,GRCh38_AllTandemRepeats_gt10000bp_slop5.bed.gz,PASS,*,QUAL,*,0.0,,1.0,,0,0,71877742.000000,0.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,4308,.,.,2759.000000,1437.000000,,1.91997216423,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,4308,.,.,2759.000000,1437.000000,,1.91997216423
