Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.960841,0.87474,0.446023,0.915771,10902,10828,2809068885,2547105669.000000,0.000000,525939,.,.,296702.000000,194024.000000,,1.52920257288,505344,.,.,283349.000000,190921.000000,,1.48411646702,20595,.,.,13353.000000,3103.000000,,4.3032549146,1079705,.,.,709812.000000,332737.000000,,2.13325238852,523210,.,.,323761.000000,190049.000000,,1.70356592247,74922,.,.,59624.000000,14146.000000,,4.21490173901,481573,.,.,326427.000000,128542.000000,,2.53945792037
INDEL,*,*,PASS,*,QUAL,*,0.959427,0.879599,0.43953,0.91778,10453,10470,2809068885,2547105669.000000,0.000000,525939,.,.,296702.000000,194024.000000,,1.52920257288,504600,.,.,283349.000000,190177.000000,,1.48992254584,21339,.,.,13353.000000,3847.000000,,3.4710163764,1059809,.,.,709812.000000,312841.000000,,2.26892255171,522474,.,.,323761.000000,189313.000000,,1.71018894635,71517,.,.,59624.000000,10741.000000,,5.55106600875,465818,.,.,326427.000000,112787.000000,,2.89418993324
INDEL,*,GRCh38_AllHomopolymers_gt6bp_imperfectgt10bp_slop5.bed.gz,ALL,*,QUAL,*,0.962415,0.932416,0.533798,0.947178,5058,3268,83977437.000000,62855671.000000,0.000000,230146,.,.,127687.000000,85985.000000,,1.4849915683,221496,.,.,122129.000000,84457.000000,,1.44604946896,8650,.,.,5558.000000,1528.000000,,3.63743455497,529549,.,.,341826.000000,164921.000000,,2.0726650942,230192,.,.,141616.000000,84104.000000,,1.68382003234,16685,.,.,11901.000000,4037.000000,,2.94798117414,282672,.,.,188309.000000,76780.000000,,2.45257879656
INDEL,*,GRCh38_AllHomopolymers_gt6bp_imperfectgt10bp_slop5.bed.gz,PASS,*,QUAL,*,0.961542,0.93403,0.530331,0.947587,4943,3221,83977437.000000,62855671.000000,0.000000,230146,.,.,127687.000000,85985.000000,,1.4849915683,221295,.,.,122129.000000,84256.000000,,1.44949914546,8851,.,.,5558.000000,1729.000000,,3.21457489879,524273,.,.,341826.000000,159645.000000,,2.14116320586,229991,.,.,141616.000000,83903.000000,,1.68785383121,16244,.,.,11901.000000,3596.000000,,3.3095105673,278038,.,.,188309.000000,72146.000000,,2.61011005461
INDEL,*,GRCh38_AllTandemRepeats_201to10000bp_slop5.bed.gz,ALL,*,QUAL,*,0.958444,0.895876,0.885954,0.926105,131,154,38076769.000000,13780238.000000,0.000000,7508,.,.,4427.000000,2697.000000,,1.64145346681,7196,.,.,4212.000000,2642.000000,,1.59424678274,312,.,.,215.000000,55.000000,,3.90909090909,72085,.,.,52224.000000,17343.000000,,3.01124372946,7365,.,.,4661.000000,2616.000000,,1.78172782875,856,.,.,699.000000,154.000000,,4.53896103896,63864,.,.,46864.000000,14573.000000,,3.2158100597
INDEL,*,GRCh38_AllTandemRepeats_201to10000bp_slop5.bed.gz,PASS,*,QUAL,*,0.956846,0.901545,0.884939,0.928373,121,150,38076769.000000,13780238.000000,0.000000,7508,.,.,4427.000000,2697.000000,,1.64145346681,7184,.,.,4212.000000,2630.000000,,1.60152091255,324,.,.,215.000000,67.000000,,3.20895522388,70884,.,.,52224.000000,16142.000000,,3.23528682939,7353,.,.,4661.000000,2604.000000,,1.78993855607,803,.,.,699.000000,101.000000,,6.92079207921,62728,.,.,46864.000000,13437.000000,,3.48768326263
INDEL,*,GRCh38_AllTandemRepeats_51to200bp_slop5.bed.gz,ALL,*,QUAL,*,0.931456,0.912386,0.601899,0.921822,1285,862,26604713.000000,19582480.000000,0.000000,32344,.,.,17865.000000,9333.000000,,1.91417550627,30127,.,.,16689.000000,9169.000000,,1.82015486967,2217,.,.,1176.000000,164.000000,,7.17073170732,90369,.,.,66497.000000,20080.000000,,3.31160358566,32824,.,.,22900.000000,9042.000000,,2.53262552533,3152,.,.,2013.000000,1053.000000,,1.91168091168,54393,.,.,41584.000000,9985.000000,,4.16464697046
INDEL,*,GRCh38_AllTandemRepeats_51to200bp_slop5.bed.gz,PASS,*,QUAL,*,0.930064,0.91485,0.599524,0.922395,1254,853,26604713.000000,19582480.000000,0.000000,32344,.,.,17865.000000,9333.000000,,1.91417550627,30082,.,.,16689.000000,9124.000000,,1.82913195967,2262,.,.,1176.000000,209.000000,,5.62679425837,89471,.,.,66497.000000,19182.000000,,3.46663538734,32780,.,.,22900.000000,8998.000000,,2.54501000222,3051,.,.,2013.000000,952.000000,,2.11449579832,53640,.,.,41584.000000,9232.000000,,4.50433275563
INDEL,*,GRCh38_AllTandemRepeats_gt10000bp_slop5.bed.gz,ALL,*,QUAL,*,0.0,,1.0,,0,0,71877742.000000,0.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,16960,.,.,10412.000000,6422.000000,,1.62130177515,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,16960,.,.,10412.000000,6422.000000,,1.62130177515
INDEL,*,GRCh38_AllTandemRepeats_gt10000bp_slop5.bed.gz,PASS,*,QUAL,*,0.0,,1.0,,0,0,71877742.000000,0.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,12017,.,.,10412.000000,1479.000000,,7.0398918188,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,12017,.,.,10412.000000,1479.000000,,7.0398918188
INDEL,*,GRCh38_AllTandemRepeats_gt100bp_slop5.bed.gz,ALL,*,QUAL,*,0.950006,0.906443,0.84573,0.927713,426,404,119934799.000000,20704494.000000,0.000000,17302,.,.,10268.000000,5570.000000,,1.8434470377,16437,.,.,9732.000000,5456.000000,,1.78372434018,865,.,.,536.000000,114.000000,,4.70175438596,121942,.,.,86567.000000,31248.000000,,2.77032130056,17052,.,.,11329.000000,5391.000000,,2.10146540531,1760,.,.,1332.000000,403.000000,,3.30521091811,103130,.,.,73906.000000,25454.000000,,2.90351221812
INDEL,*,GRCh38_AllTandemRepeats_gt100bp_slop5.bed.gz,PASS,*,QUAL,*,0.948387,0.910423,0.838037,0.929018,407,399,119934799.000000,20704494.000000,0.000000,17302,.,.,10268.000000,5570.000000,,1.8434470377,16409,.,.,9732.000000,5428.000000,,1.79292557111,893,.,.,536.000000,142.000000,,3.77464788732,115452,.,.,86567.000000,24758.000000,,3.49652637531,17024,.,.,11329.000000,5363.000000,,2.1124370688,1675,.,.,1332.000000,318.000000,,4.18867924528,96753,.,.,73906.000000,19077.000000,,3.87408921738
INDEL,*,GRCh38_AllTandemRepeats_lt51bp_slop5.bed.gz,ALL,*,QUAL,*,0.936659,0.935021,0.431288,0.935839,3473,1717,38085246.000000,29892681.000000,0.000000,95025,.,.,50464.000000,27474.000000,,1.83679114799,89006,.,.,47159.000000,27003.000000,,1.74643558123,6019,.,.,3305.000000,471.000000,,7.016985138,183388,.,.,127373.000000,45138.000000,,2.82185741504,97518,.,.,66111.000000,26740.000000,,2.47236350037,6777,.,.,3616.000000,2853.000000,,1.26743778479,79093,.,.,57646.000000,15545.000000,,3.70833065294
INDEL,*,GRCh38_AllTandemRepeats_lt51bp_slop5.bed.gz,PASS,*,QUAL,*,0.935301,0.937353,0.428515,0.936326,3354,1676,38085246.000000,29892681.000000,0.000000,95025,.,.,50464.000000,27474.000000,,1.83679114799,88877,.,.,47159.000000,26874.000000,,1.75481878395,6148,.,.,3305.000000,600.000000,,5.50833333333,181807,.,.,127373.000000,43557.000000,,2.92428312326,97391,.,.,66111.000000,26613.000000,,2.48416187577,6509,.,.,3616.000000,2585.000000,,1.39883945841,77907,.,.,57646.000000,14359.000000,,4.01462497388
INDEL,*,GRCh38_AllTandemRepeatsandHomopolymers_slop5.bed.gz,ALL,*,QUAL,*,0.95424,0.930452,0.542503,0.942196,9011,5437,249348603.000000,121472014.000000,0.000000,339446,.,.,186127.000000,118282.000000,,1.57358685176,323913,.,.,176818.000000,116193.000000,,1.52176120765,15533,.,.,9309.000000,2089.000000,,4.45619913834,803606,.,.,532740.000000,234671.000000,,2.27015694312,342078,.,.,217277.000000,115520.000000,,1.88086045706,25569,.,.,17156.000000,7334.000000,,2.3392418871,435959,.,.,298307.000000,111817.000000,,2.66781437527
