"","assembly","dipcall_contig","Filter","Subtype","Subset","INDEL.QUERY.FP","INDEL.Subset.IS_CONF.Size","INDEL.FP.gt","INDEL.FP.al","INDEL.Recall","INDEL.TRUTH.TOTAL","INDEL.TRUTH.TP","INDEL.TRUTH.TP.het","INDEL.TRUTH.TP.homalt","INDEL.TRUTH.TOTAL.het","INDEL.TRUTH.TOTAL.homalt","INDEL.ntTRUTH.TOTAL.het","INDEL.ntTRUTH.TOTAL.homalt","INDEL.ntTRUTH.TOTAL","SNP.QUERY.FP","SNP.Subset.IS_CONF.Size","SNP.FP.gt","SNP.FP.al","SNP.Recall","SNP.TRUTH.TOTAL","SNP.TRUTH.TP","SNP.TRUTH.TP.het","SNP.TRUTH.TP.homalt","SNP.TRUTH.TOTAL.het","SNP.TRUTH.TOTAL.homalt","SNP.ntTRUTH.TOTAL.het","SNP.ntTRUTH.TOTAL.homalt","SNP.ntTRUTH.TOTAL","QV_dip_snp","QV_dip_indel","QV_dip_snp_indel","QV_hap_snp","QV_ignoreGT_snp","QV_hap_indel","QV_ignoreGT_indel","QV_hap_snp_indel","QV_ignoreGT_snp_indel","SNP.Recall_ignoreGT","INDEL.Recall_ignoreGT","SNP.Recall.het","SNP.Recall.hom","INDEL.Recall.het","INDEL.Recall.hom","SNP.Recall.het.TOTALnontarget","SNP.Recall.hom.TOTALnontarget","INDEL.Recall.het.TOTALnontarget","INDEL.Recall.hom.TOTALnontarget","SNP.Recall_ignoreGT.TOTALnontarget","SNP.Recall.TOTALnontarget"
"339","asm8ab",50,"PASS","*","GRCh38_notinsegdups.bed.gz",93962,2458512453,3316,6973,0.989946,455919,451335,282494,137582,284061,139365,290686,189684,515255,9188,2458512453,659,846,0.999604,2913988,2912835,1964510,947092,1965335,947418,1991351,1251467,3244071,57.2848142158637,47.1875015586032,46.7823317580018,58.0617157492126,57.6080429369925,47.6911706771108,47.3435376367403,47.3096533226842,46.9530019896317,0.999830472877719,0.997218804217416,0.999580224236581,0.999655906896428,0.999580224236581,0.999655906896428,0.98652121097687,0.756785436611593,0.98652121097687,0.756785436611593,0.898098099579202,0.897894959758896
"340","asm8ab",50,"PASS","*","GRCh38_segdups.bed.gz",2560,83882524,21,110,0.99476,8016,7974,4996,2721,5021,2733,6034,4484,10855,6259,83882524,264,179,0.995479,90255,89847,57448,32349,57748,32457,69297,51943,121294,44.2819653389136,48.1646152013281,42.7928214284159,44.6007708759368,44.4691229800979,48.3927397063953,48.2003878457094,43.0851082546412,42.9354884692136,0.998404520525179,0.997380239520958,0.994805014892291,0.996672520565671,0.994805014892291,0.996672520565671,0.829011356912998,0.622778815239782,0.829011356912998,0.622778815239782,0.742913911652679,0.740737381898528
"341","asm9ab05",50,"PASS","*","*",15107,2547090282,6413,2986,0.978513,524880,513602,288542,193151,296047,193674,296723,194170,526114,9244,2547090282,2500,581,0.99857,3353156,3348362,2049222,1297840,2053761,1298090,2060648,1303410,3365365,57.4121439772689,55.2789610532417,53.205575338472,59.1728216680329,58.7815677291728,59.5059037009136,57.6785469867915,56.3258702954828,55.1848329793998,0.999315868393836,0.990731214753849,0.997789908368111,0.99980740934758,0.997789908368111,0.99980740934758,0.994455142265928,0.995726594087816,0.994455142265928,0.995726594087816,0.995690512024699,0.99494765055202
"342","asm9ab05",50,"PASS","*","GRCh38_AllHomopolymers_gt6bp_imperfectgt10bp_slop5.bed.gz",5644,62855666,2873,1176,0.979302,229824,225067,124225,85503,127494,85881,127695,86040,230210,283,62855666,131,48,0.997884,99725,99514,60818,38633,61011,38650,61109,38714,99887,56.4758799254549,43.4778742298747,43.2653950083076,60.82341088771,59.17530840125,48.9661374067658,46.5673790228755,48.6918104920073,46.3354561271234,0.999197793933317,0.991802422723475,0.996836636016456,0.999560155239327,0.996836636016456,0.999560155239327,0.995238017313325,0.997907733636411,0.995238017313325,0.997907733636411,0.997577262306406,0.996265780331775
"343","asm9ab05",50,"PASS","*","GRCh38_HG002_GIABv4.1_notin_complexandSVs_alldifficultregions.bed.gz",3725,2122523462,502,380,0.991609,145272,144053,85442,58611,86656,58616,86735,58695,145430,1524,2122523462,1240,36,0.998958,2508767,2506152,1537597,968555,1540174,968593,1541627,969978,2511605,64.4489752821753,60.567562181368,59.0780592245297,72.3343081439489,71.7456415517407,61.7410563553067,61.1962218970878,61.3778349015781,60.8294672933961,0.999451921999931,0.99506443086073,0.99832681242509,0.999960767835407,0.99832681242509,0.999960767835407,0.997385878685311,0.998532956417568,0.997385878685311,0.998532956417568,0.99832258655322,0.997828878346715
"344","asm9ab05",50,"PASS","*","GRCh38_MHC.bed.gz",33,4664474,6,17,0.984331,1787,1759,1032,568,1045,574,1045,574,1787,14,4664474,8,5,0.999247,19915,19900,12252,7367,12263,7369,12263,7369,19915,58.237046366262,54.5131873242655,52.9773481436872,69.6983267230444,61.916814219208,59.6983267230444,55.3846890814545,59.2843998714621,54.5131873242655,0.999648506151142,0.987688864017907,0.999102992742396,0.999728592753427,0.999102992742396,0.999728592753427,0.999102992742396,0.999728592753427,0.999102992742396,0.999728592753427,0.999648506151142,0.999246798895305
"345","asm9ab05",50,"PASS","*","GRCh38_notinAllHomopolymers_gt6bp_imperfectgt10bp_slop5.bed.gz",9562,2479539353,3548,1843,0.977852,295876,289323,164845,107776,169096,107923,169575,108260,296728,8961,2479539353,2369,533,0.998591,3253437,3248854,1988406,1259209,1992752,1259442,1999541,1264698,3265484,57.4304452375019,57.1485226171421,54.2768967434729,59.1300004857745,58.7638380238492,60.7516081122815,59.1623757730948,56.8552536736182,55.9482369828438,0.999319488897434,0.989843718314429,0.997819096405373,0.999814997435372,0.997819096405373,0.999814997435372,0.994431221965441,0.995659833414776,0.994431221965441,0.995659833414776,0.995632806652858,0.994907339922658
"346","asm9ab05",50,"PASS","*","GRCh38_notinAllTandemRepeatsandHomopolymers_slop5.bed.gz",4858,2420923010,625,531,0.991357,186386,184775,109113,75490,110646,75563,111016,75819,187012,8518,2420923010,2239,394,0.998606,3170289,3165870,1937141,1227520,1941334,1227743,1948031,1232911,3182155,57.546733381892,59.9855346345782,55.5868471383199,59.1526450674748,58.8712049086859,61.1657455951005,60.5836270545292,57.0332824655565,56.6332562171123,0.999312365528821,0.99470990310431,0.997840144972478,0.999818365895794,0.997840144972478,0.999818365895794,0.99440973988607,0.995627421606263,0.99440973988607,0.995627421606263,0.995586010109501,0.99488239887749
"347","asm9ab05",50,"PASS","*","GRCh38_notinalldifficultregions.bed.gz",3787,2135763155,515,420,0.991562,156795,155472,92035,63330,93299,63387,93383,63478,156970,1688,2135763155,1393,41,0.998914,2734143,2731174,1675398,1055006,1678279,1055094,1679848,1056621,2737240,64.0321064340703,60.5228778057584,58.9219896218451,72.2574936907673,71.6076106971851,61.7543356451684,61.1576979069738,61.3838163430413,60.7827997635832,0.999423585379404,0.994846774450716,0.998283360513955,0.999916595109061,0.998283360513955,0.999916595109061,0.997350950800311,0.998471542776454,0.997350950800311,0.998471542776454,0.998292805892066,0.997783899110052
"348","asm9ab05",50,"PASS","*","GRCh38_notinalllowmapandsegdupregions.bed.gz",14228,2397123054,6285,2897,0.97832,507746,496738,279008,186181,286273,186699,286581,186982,508379,2342,2397123054,1776,223,0.99884,3102209,3098610,1901263,1196197,1904744,1196311,1906598,1198084,3105838,63.1113343362189,55.2757646784449,54.613978159389,71.4542620431547,69.2790389316997,59.7777307817668,57.8073576180885,59.4921214076221,57.5084180070145,0.999412354228874,0.990698104957991,0.998172457821104,0.999904707053601,0.998172457821104,0.999904707053601,0.997201822303391,0.998424985226412,0.997201822303391,0.998424985226412,0.998244596144422,0.99767276979675
"349","asm9ab05",50,"PASS","*","GRCh38_notinsegdups.bed.gz",14343,2458512498,6315,2917,0.97851,514606,503547,283060,188875,290370,189393,290686,189684,515255,2490,2458512498,1851,236,0.998846,3240243,3236504,1985780,1249477,1989396,1249596,1991351,1251467,3244071,62.9550306896284,55.3506241764312,54.6554089263545,70.8639736991746,68.8620155790017,59.8319653510334,57.8709505224312,59.5023565428882,57.5383361949471,0.999417327651043,0.990781296759074,0.998182362888032,0.999904769221412,0.998182362888032,0.999904769221412,0.997202401786526,0.99840986618105,0.997202401786526,0.99840986618105,0.998238016368939,0.99766743699506
"350","asm9ab05",50,"PASS","*","GRCh38_segdups.bed.gz",765,83882521,99,69,0.978578,10270,10050,5479,4274,5674,4279,6034,4484,10855,6754,83882521,649,345,0.990657,112913,111858,63442,48363,64365,48494,69297,51943,121294,43.9514041361303,53.410400347588,43.4854138508679,44.6427898648921,44.3901580163152,54.4872713878305,54.0122724074212,44.2144925848196,43.9404865611499,0.996404311283909,0.988218111002921,0.985659908335275,0.997298634882666,0.985659908335275,0.997298634882666,0.915508607876243,0.931078297364419,0.915508607876243,0.931078297364419,0.927556185796494,0.922205550150873
